ID,X,Y,Name,description,latitude,longitude,address,no of slots
P1,79.882664,6.9149514,LOLC Car Park,,6.91495,79.88266,"21, 25 Chandraleka Mawatha, Colombo 00800",120
P2,79.8763012,6.8835326,Best Western Elyon Colombo,,6.88353,79.8763,"Baseline Road, 102A Kirulapone Ave, Colombo 00500",75
P3,79.8500302,6.9337011,Fort,,6.9337,79.85003,"Fort, Colombo",100
P4,79.8648155,6.928458,Maradana Railway Station,,6.92845,79.86481,"Jayantha Weerasekara Mawatha, Colombo 01000",225
P5,79.8706443,6.8799436,Tenaga Carparks (Pvt)Ltd,,6.87994,79.87064,"Level 4, 124 Maya Ave, Colombo 00500",300
P6,79.8550433,6.9175862,PickMe Booking,,6.91758,79.85504,"137 Sir James Pieris Mawatha, Colombo 00200",250
P7,79.8580427,6.8918529,SriLankan Airlines Cargo,,6.89185,79.85804,"R. A. De Mel Mawatha, Colombo 00500",450
P8,79.8844856,6.9134179,Cotta Road,,6.91341,79.88448,"Colombo 08, Colombo",150
P9,79.8835956,6.8726166,PickMe Head Office,,6.87261,79.88359,"309 High Level Rd, Colombo 00600",300
P10,79.8419406,6.9328529,The Kingsbury Colombo,,6.93285,79.84194,"48 Janadhipathi Mawatha, Colombo",450
P11,79.8819425,6.886707,Administrative Car Park,,6.8867,79.88194,"open university of Sri Lanka P.O.Box 21, Nawala Road, Nugegoda 10250",800
P12,79.848604,6.9363684,Colombo Car Park,,6.8867,79.8486,Colombo,780
P13,79.8571301,6.9126555,Exilsoft Car Park,,6.93636,79.85713,"Srimath Anagarika Dharmapala Mawatha, Colombo 00700",600
P14,79.8592709,6.9069867,ParkMeApp,,6.90698,79.85927,"3 Cambridge Terrace, Colombo 00700",400
P15,79.8470493,6.920306,Parking Lot,,6.9203,79.84704,"Galle Road, Colombo",445
P16,79.9280447,6.8772898,Parliament Exercise Track 2 Parking Lot,,6.87728,79.92804,"Japan Sri Lanka Friendship Rd, Sri Jayawardenepura Kotte",667
P17,79.8577619,6.9164266,Parking Lot of Parkway Building,,6.91642,79.85776,"5 Lake Cres, Colombo 00200",289
P18,79.8764396,6.9148336,Parking,,6.91483,79.87643,"82 Ward Pl, Colombo 00700",380
P19,79.8606089,6.9296699,Trace Vehicle Parking Area,,6.92966,79.8606,"Trace Ln, Colombo 01000",560
P20,79.8414445,6.9338183,The Kingsbury Hotel Parking Lot,,6.92966,79.84144,"Flag Staff St, Colombo",180
P21,79.9163466,6.9048267,Parking,,6.90482,79.91634,Sri Jayawardenepura Kotte,300
P22,79.8451483,6.9346583,Hemas Public Car Park,,6.93465,79.84514,"Big car park, Colombo",400
P23,79.8620817,6.958409,Colombo Dock Yard Vehicle Park,,6.9584,79.86208,Colombo,280
P24,79.8757911,7.1291947,Airport Parking Sri Lanka,,7.12919,79.87579,"371/5 Negombo Rd, Seeduwa 11410",740
P25,79.8764396,6.9148336,Parking,,6.91483,79.87643,"82 Ward Pl, Colombo 00700",469
P26,79.8709434,6.9184529,Parking,,6.91845,79.87094,"Professor Nandadasa Kodagoda Rd, Colombo 00700",385
P27,79.8592709,6.9069867,ParkMeApp,,6.90698,79.85927,"3 Cambridge Terrace, Colombo 00700",198
P28,79.8470493,6.920306,Parking Lot,,6.9203,79.84704,"Galle Road, Colombo",228
P29,79.9099906,6.9342454,LOLC Vehicle Yard Buthgamuwa,,6.93424,79.90999,Kotikawatta,663
P30,79.8819425,6.886707,Administrative Car Park,,6.8867,79.88194,"the open university of Sri Lanka P.O.Box 21, Nawala Road, Nugegoda 10250",445
